site,site_type,zone,date,transect,depth,depth_units,species,stipe_diff,count_diff,subsample_diff
REC_01,FOR,Deep,2024-09-09,4,50,Feet,NERLUE,NA,2 ≠ 11,NA
REC_02,FOR,Shallow,2024-08-05,4,29,Feet,NERLUE,NA,42 ≠ 34,NA
REC_03,BAR,Deep,2024-06-25,4,42,Feet,LAMSET,NA,2 ≠ 11,NA
REC_03,FOR,Shallow,2024-06-25,2,20,Feet,PTECAL,NA,30 ≠ 3,NA
REC_04,INCIP,Deep,2024-07-22,3,31,Feet,PTECAL,NA,12 ≠ 3,NA
REC_04,INCIP,Deep,2024-07-22,4,34,Feet,PTECAL,NA,30 ≠ 2,NA
REC_04,INCIP,Deep,2025-06-10,3,9.4,Meters,LAMSET,NA,1 ≠ 2,NA
REC_04,INCIP,Shallow,2025-06-10,3,9.8,Meters,PTECAL,NA,16 ≠ 10,NA
REC_05,FOR,Deep,2024-07-31,2,52,Feet,PTECAL,NA,30 ≠ 20,NA
REC_05,INCIP,Shallow,2024-07-31,3,31,Feet,NERLUE,NA,6 ≠ 4,NA
REC_05,BAR,Shallow,2025-06-09,4,11.3,Meters,NERLUE,NA,6 ≠ 7,NA
REC_12,BAR,Deep,2025-06-17,2,12,Meters,PTECAL,NA,24 ≠ 15,NA
